Ḩeşār-e Sefīd , IR
‘Ayn Ḩalāqīm , SY
Taglag , IR
Qabāghlū , IR
‘Arīqah , SY
Kalāteh-ye Dowlat , IR
Behjatābād , IR
Ţālesh Maḩalleh , IR
Shahrīār Kandeh , IR
Bālā Aḩmad Kolā , IR
Aş Şūrah aş Şaghīrah , SY
Āqdūz , IR
Āzādshahr , IR
Gollar , IR
Dīgāleh , IR
Qarālar-e Mīrzā Ḩoseynqolī , IR
Protaras , CY
Kahrīz , IR
Nūrābād , IR
Rokan Sarā , IR
Zīrjān , IR
Dahasuways , YE
Ash Shihr , YE
Al Ghaylah , YE
Judaydah , YE
Dawran , YE
Najd al Jumai , YE
Zalmat al Alya , YE
Suq ar Rabu , YE
Ash Shuqayrah , YE
Mashraah , YE
Ar Rawnah , YE
Ar Ramadi , YE
Al Ahad , YE
Ad Dil , YE
Al Jabin , YE
Badrābād-e `Olyā , IR
Īstgāh-e Rāh Āhan-e Garmsār , IR
Qarchak , IR
Suq Sirwah , YE
Majzar , YE
Bidbadah , YE
Matwah , YE
Suwayr , YE
Wadarah , YE
Suq Shamar , YE
Mustaba , YE
An Nazir , YE
Dayr al Ḩisī , YE
Tabrīz Jānī , IR
Andīmeshk , IR
Ravīndūzaq , IR
Māmā’ī , IR
Reẕāābād , IR
Khorramdarreh , IR
Kūchaklī , IR
Koshtārgāh , IR
Jozf-e Soflá , IR
Republic of Rwanda , RW
Yeed , SO
Xuddur , SO
Xarardheere , SO
Gobolka Woqooyi Galbeed , SO
Wanlaweyn , SO
Waajid , SO
Gobolka Togdheer , SO
Tayeeglow , SO
Somalia , SO
Gobolka Shabeellaha Hoose , SO
Gobolka Shabeellaha Dhexe , SO
Gobolka Sanaag , SO
Saacow , SO
Qoryooley , SO
Qandala , SO
Qaloocan , SO
Oodweyne , SO
Gobolka Nugaal , SO
Mogadishu , SO
Gobolka Mudug , SO
Marka , SO
Mahaddayweyne , SO
Luuq , SO
Lughaye , SO
Las Khorey , SO
Kismayo , SO
Gobolka Jubbada Hoose , SO
Gobolka Jubbada Dhexe , SO
Jilib , SO
Jawhar , SO
Jamaame , SO
Jalalaqsi , SO
Iskushuban , SO
Hobyo , SO
Gobolka Hiiraan , SO
Hargeysa , SO
Gobolka Gedo , SO
Garoowe , SO
Garbahaarrey , SO
Gobolka Galguduud , SO
Gaalkacyo , SO
Eyl , SO
El Dubat , SO
El Ad , SO
Dujuuma , SO
Doon , SO
Dhuusamarreeb , SO
Dalooldho , SO
Cheli Gu , SO
Ceerigaabo , SO
Ceeldheer , SO
Ceelbuur , SO
Ceek , SO
Caluula , SO
Cadale , SO
Buurhakaba , SO
Buur Gaabo , SO
Buulobarde , SO
Burao , SO
Bu’aale , SO
Bosaso , SO
Bereeda , SO
Berbera , SO
Beledweyne , SO
Behelidle , SO
Baidoa , SO
Gobolka Bay , SO
Gobolka Bari , SO
Bargaal , SO
Bandarbeyla , SO
Gobolka Banaadir , SO
Baardheere , SO
Afgooye , SO
Cadayo , SO
Yasuj , IR
Shāhrūd , IR
‘Abbāsābād-e Qūsheh , IR
At Tawilah , YE
Zinjibar , YE
Zarajah , YE
Az Zahir , YE
Zabīd , YE
Zabid , YE
Yufrus , YE
Republic of Yemen , YE
Yarīm , YE
Yarim , YE
Washhah , YE
Walan , YE
Dhi Jalal , YE
Usaylan , YE
Ubal , YE
Thamud , YE
Tarim , YE
At Ta‘izzīyah , YE
Muḩāfaz̧at Ta‘izz , YE
Ta‘izz , YE
Taizz , YE
As Suwayda , YE
Al Anan , YE
Abs , YE
Sif , YE
Shuḩayr , YE
Shihan as Sufla , YE
Shibam , YE
Ash Sharyah , YE
Sharas , YE
Shaharat al Ghis , YE
Muḩāfaz̧at Shabwah , YE
Sayyan , YE
Sayhut , YE
Sanhan , YE
Sanaa , YE
Sana , YE
Sanaa , YE
Sahar , YE
Sah , YE
Muḩāfaz̧at Şa‘dah , YE
Sadah , YE
Rihab , YE
Rada , YE
Muḩāfaz̧at Raymah , YE
Ar Raydah , YE
Raydah , YE
Rakkat al ‘Askarī , YE
Rudum , YE
Qulansiyah , YE
Qishn , YE
Qatabah , YE
Nisab , YE
Al Musaymir , YE
Mukayras , YE
Mudiyah , YE
Markaz Mudhaykirah , YE
Morī , YE
Manwakh , YE
Mayfaah , YE
Maidi , YE
Mawza , YE
Mawiyah , YE
Al Jawl , YE
Marib City , YE
Muḩāfaz̧at Ma’rib , YE
Ma'rib , YE
Manakhah , YE
Milah , YE
Al Malahit , YE
Al Mafud , YE
Mafhaq , YE
Al Madid , YE
Mabar , YE
Al Maalla , YE
Lawdar , YE
Lahij , YE
Kuhlan Afar , YE
Kuaydinah , YE
Kitaf , YE
Kilmia , YE
Khawr Maksar , YE
Khawrah , YE
Khamir , YE
Juban , YE
Jihanah , YE
Jiblah , YE
Jawf al Maqbabah , YE
Muḩāfaz̧at al Jawf , YE
Jaar , YE
Ibb , YE
Ibb , YE
Huth , YE
As Salasil , YE
Al Abr , YE
Hays , YE
Hayfan , YE
Hawf , YE
Haswayn , YE
Harib , YE
Harad , YE
Hammam Ali , YE
Ḩajjah , YE
Hajjah , YE
Madinat Labus , YE
Muḩāfaz̧at Ḩaḑramawt , YE
Tamrida , YE
Habil al Jabr , YE
Al Habilayn , YE
Habban , YE
Hababah , YE
Ghayl Ba Wazir , YE
Dhubab , YE
Dhi Naim , YE
Dhaybin , YE
Dhī as Sufāl , YE
Dhi as Sufal , YE
Madīnat Dhamār , YE
Muḩāfaz̧at Dhamār , YE
Dhamar , YE
Dawran ad Daydah , YE
Dar an Nasr , YE
Burum , YE
Bayt Adhaqah , YE
As Suq al Jadid , YE
Bayt al Faqīh , YE
Bayt al Faqih , YE
Bayhan , YE
Bani Hujjaj , YE
Bani Bakr , YE
Bājil , YE
Bajil , YE
Az Zuhrah , YE
Az Zaydiyah , YE
Az Zahir , YE
Al Hajab , YE
Al Awabil , YE
At Turbah , YE
Al Tuhayta , YE
At Tawahi , YE
Ataq , YE
As Sudah , YE
As Sayyani , YE
As Sawmaah , YE
Al Bilad , YE
As Sawadiyah , YE
As Salif , YE
Said , YE
As Safaqayn , YE
As Saddah , YE
Ash Shaykh Uthman , YE
Ash Shatt , YE
Ash Shahil , YE
Ash Shaghadirah , YE
Asdas , YE
Marbat , YE
Ar Rawdah , YE
Ar Rawdah , YE
An Nadirah , YE
Amran , YE
Amd , YE
Al Wuday , YE
Al Udayn , YE
Al Qurh , YE
Al Qaryah , YE
Al Qanawis , YE
Al Qaflah , YE
Qaryat al Qabil , YE
Al Maudah , YE
Al Munirah , YE
Al Mukalla , YE
Al Misrakh , YE
Al Milah , YE
Al Mighlaf , YE
Markaz al Marir , YE
Al Marawiah , YE
Al Mansuriyah , YE
Al Mansurah , YE
Al Makhadir , YE
Al Makdash , YE
Al Mahwit , YE
Al Mahfid , YE
Al Mahabishah , YE
Al Luhayyah , YE
Kirsh , YE
Al Khawkhah , YE
Al Khasamah , YE
Al Jurbah , YE
Al Jarrahi , YE
Al Husayn , YE
Huraydah , YE
Al Hudaydah , YE
Muḩāfaz̧at al Ḩudaydah , YE
Al Hazm , YE
Al Qatn , YE
Al Harf , YE
Al Ḩamzāt , YE
Hajar al Mushaikh , YE
Al Ḩabīt , YE
Al Ghayzah , YE
Al Fujayr , YE
Al Bayda , YE
Muḩāfaz̧at al Bayḑā’ , YE
Al Batinah , YE
Al Aqir , YE
Ahwar , YE
Ad Durayhimi , YE
Ad Dis ash Sharqiyah , YE
Ad Dimnah , YE
Ad Dann , YE
Az Zaliah , YE
Dhalie , YE
Dhahi , YE
Muḩāfaz̧at ‘Adan , YE
Muḩāfaz̧at Abyan , YE
Al Bardīyah , LY
Tobruk , LY
Qaryat Sulūq , LY
Kamb al ‘Ajjāj , LY
Gialo , LY
Darnah , LY
Darnah , LY
Benghazi , LY
Az Zuwaytīnah , LY
Awjilah , LY
At Tāj , LY
Aş Şafşāf , LY
Ash Shawāshinah , LY
Al ‘Urūbah , LY
Tūkrah , LY
Al Qubbah , LY
Al Marj , LY
Al Marj , LY
Al Kufrah , LY
Al Jawf , LY
Al Jaghbūb , LY
Al Bayḑā’ , LY
Al Abyār , LY
Ajdabiya , LY
Muḩāfaz̧at al Başrah , IQ
Zaxo , IQ
Muhafazat Wasit , IQ
Umm Qaşr , IQ
Ūlwur , IQ
Tozkhurmato , IQ
Tikrīt , IQ
Tallkayf , IQ
Sulaymānīyah , IQ
Sīnah , IQ
Sāmarrā’ , IQ
Muhafazat Salah ad Din , IQ
Nāḩīyat Saddat al Hindīyah , IQ
Aḩmad Ţāhir , IQ
Ṟuwandiz , IQ
Rāwah , IQ
Qāzaw al ‘Ulyā , IQ
Qaryat Bānī Mālik , IQ
Al-Hamdaniya , IQ
Qal‘at as Sādah , IQ
Niskah Jaww , IQ
Muḩāfaz̧at Nīnawá , IQ
Mudarras , IQ
Muḩāfaz̧at Maysān , IQ
Mandalī , IQ
Koysinceq , IQ
Kifrī , IQ
Raḩbah , IQ
Kirkuk , IQ
Karīm Āwah , IQ
Muḩāfaz̧at Karbalā’ , IQ
Karbala , IQ
Kānī Mīr , IQ
Kānī Khākī , IQ
Kānī Kawah al Qadīmah , IQ
Kānī Kawah Jabūkh , IQ
Kānī Bardīnah , IQ
Jalīb Shihāb , IQ
Muḩāfaz̧at Arbīl , IQ
Erbil , IQ
Hīt , IQ
Hamādīyah , IQ
Ḩalabjah , IQ
Ḩājj Sallūm , IQ
‘Arab Ḩasan as Suhayl , IQ
Ḩadīthah , IQ
Diyālá , IQ
Dīwānīyah , IQ
Dihok , IQ
Muḩāfaz̧at Dhī Qār , IQ
Dihok , IQ
Jamjamāl , IQ
Buzan , IQ
Bayjī , IQ
Baqubah , IQ
Baynjiwayn , IQ
Balad , IQ
Muḩāfaz̧at Baghdād , IQ
Baghdad , IQ
Muḩāfaz̧at Bābil , IQ
Az Zubayr , IQ
Qaryat ‘Ayn Nāşir , IQ
Muḩāfaz̧at Kirkūk , IQ
Aş Şuwayrah , IQ
As Sulaymānīyah , IQ
Muḩāfaz̧at as Sulaymānīyah , IQ
As Samawah , IQ
Nāḩiyat ash Shināfīyah , IQ
Ash Shaţrah , IQ
Ash Shāmīyah , IQ
Ar Ruţbah , IQ
Ar Rumaythah , IQ
Ar Rumaylah , IQ
Ramadi , IQ
Qaryat al ‘Arbīd , IQ
Nasiriyah , IQ
Najaf , IQ
An Najaf , IQ
‘Anat al Qadīmah , IQ
Imam Qasim , IQ
Muḩāfaz̧at al Qādisīyah , IQ
Muḩāfaz̧at al Muthanná , IQ
Al Musayyib , IQ
Al Mishkhāb , IQ
Al Miqdādīyah , IQ
Al Mawşil al Jadīdah , IQ
Mosul , IQ
Al-Mejar Al-Kabi District , IQ
Al Kūt , IQ
Kufa , IQ
Khāliş , IQ
Republic of Iraq , IQ
Al Imām , IQ
‘Alī al Gharbī , IQ
‘Alī al Aḩmad , IQ
Al Hindīyah , IQ
Al Ḩillah , IQ
Al Ḩayy , IQ
Al Hārithah , IQ
Nahiyat Ghammas , IQ
Nāḩiyat al Fuhūd , IQ
Al Fāw , IQ
Al Fallūjah , IQ
Basrah , IQ
Al Barjisīyah , IQ
Al ‘Azīzīyah , IQ
Muḩāfaz̧at al Anbār , IQ
Alan , IQ
Al ‘Amārah , IQ
‘Afak , IQ
Ad Dujayl , IQ
Ad Dīwānīyah , IQ
Abū Muḩammad , IQ
Abū Ghurayb , IQ
Yanbu , SA
Umluj , SA
Umm as Sāhik , SA
Turaif , SA
Turabah , SA
At Tūbī , SA
Tārūt , SA
Tanūmah , SA
Tamrah , SA
Minţaqat Tabūk , SA
Tabuk , SA
Ţubarjal , SA
Tabālah , SA
Şumaymah , SA
Sulţānah , SA
Sufan , SA
Sīdī Ḩamzah , SA
Sayhāt , SA
Kingdom of Saudi Arabia , SA
Şāmitah , SA
Sakakah , SA
Şafwá , SA
Şabyā , SA
Ras Tanura , SA
Raḩīmah , SA
Rafha , SA
Rābigh , SA
Qārā , SA
Qal‘at Bīshah , SA
Nimrān , SA
Najrān , SA
Naghbī , SA
Mulayjah , SA
Mislīyah , SA
Masjid Ibn Rashīd , SA
Masāḩilī , SA
Marāt , SA
Makkah Province , SA
Mecca , SA
Madīnat Yanbu‘ aş Şinā‘īyah , SA
Khamis Mushait , SA
Julayjilah , SA
Jizan Region , SA
Jizan , SA
Jeddah , SA
Ḩajlah , SA
Hai’l Region , SA
Ha'il , SA
Hafar Al-Batin , SA
Farasān , SA
Duba , SA
Buraydah , SA
Abqaiq , SA
Birzayn , SA
Banbān , SA
Badr Ḩunayn , SA
Az Zulfī , SA
Dhahran , SA
Aţ Ţaraf , SA
Ta’if , SA
As Sulayyil , SA
